[[0, 0, 4], [0, 0, 4], [0, 0, 4], [0, 0, 4]]
[[1, 0, 6], [-1, 1, 4], [0, 3, 4], [0, 0, 4]]
[[1, 0, 6], [0, 0, 6], [-1, 1, 4], [0, 3, 4]]
[[1, 0, 6], [0, 0, 6], [0, 0, 6], [-1, 1, 4]]
[[1, 0, 6], [0, 0, 6], [0, 0, 6], [-1, 4, 4]]
[[1, 0, 6], [0, 0, 6], [0, 0, 6], [0, 0, 6]]
[[1, 0, 6], [0, 0, 6], [0, 0, 6], [1, 0, 8]]
[[1, 0, 6], [0, 0, 6], [0, 0, 6], [1, 1, 8]]
[[1, 0, 6], [0, 0, 6], [0, 2, 6], [-1, 0, 4]]
[[1, 0, 6], [0, 0, 6], [0, 2, 6], [0, 0, 6]]
[[1, 0, 6], [0, 0, 6], [0, 3, 6], [-1, 1, 4]]
[[1, 0, 6], [0, 0, 6], [0, 3, 6], [0, 0, 6]]
[[1, 0, 6], [0, 0, 6], [1, 0, 8], [0, 0, 8]]
[[1, 0, 6], [0, 0, 6], [1, 0, 8], [0, 1, 8]]
[[1, 0, 6], [0, 0, 6], [1, 0, 8], [0, 3, 8]]
[[1, 0, 6], [0, 0, 6], [1, 0, 8], [1, 2, 10]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8], [-1, 1, 6]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8], [-1, 4, 6]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8], [-1, 5, 6]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8], [0, 0, 8]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8], [0, 3, 8]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8], [0, 5, 8]]
[[1, 0, 6], [0, 1, 6], [-1, 0, 4], [0, 3, 4]]
[[1, 0, 6], [0, 1, 6], [0, 0, 6], [-1, 0, 4]]
[[1, 0, 6], [0, 1, 6], [0, 0, 6], [-1, 2, 4]]
[[1, 0, 6], [0, 1, 6], [0, 0, 6], [-1, 3, 4]]
[[1, 0, 6], [0, 1, 6], [0, 0, 6], [0, 0, 6]]
[[1, 0, 6], [0, 1, 6], [0, 0, 6], [0, 2, 6]]
[[1, 0, 6], [1, 0, 8], [-1, 2, 6], [-1, 0, 4]]
[[1, 0, 6], [1, 0, 8], [-1, 2, 6], [-1, 1, 4]]
[[1, 0, 6], [1, 0, 8], [-1, 2, 6], [0, 1, 6]]
[[1, 0, 6], [1, 0, 8], [0, 0, 8], [0, 0, 8]]
[[1, 0, 6], [1, 0, 8], [0, 0, 8], [0, 3, 8]]
[[1, 0, 6], [1, 0, 8], [0, 0, 8], [0, 4, 8]]
[[1, 0, 6], [1, 0, 8], [0, 0, 8], [1, 0, 10]]
[[1, 0, 6], [1, 0, 8], [0, 0, 8], [1, 1, 10]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 0, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 1, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 2, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 4, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 5, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 6, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [-1, 7, 6]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [0, 0, 8]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [0, 2, 8]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [0, 3, 8]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [0, 4, 8]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8], [0, 6, 8]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10], [-1, 2, 8]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10], [0, 0, 10]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10], [0, 1, 10]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10], [0, 2, 10]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10], [1, 0, 12]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10], [1, 1, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [-1, 1, 8]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [-1, 2, 8]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [-1, 7, 8]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [-1, 8, 8]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [-1, 9, 8]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 0, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 1, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 2, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 3, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 4, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 5, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 6, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 7, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [0, 9, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 0, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 1, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 3, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 5, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 7, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 8, 12]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10], [1, 9, 12]]
[[1, 0, 6], [1, 1, 8], [-1, 1, 6], [-1, 0, 4]]
[[1, 0, 6], [1, 1, 8], [-1, 1, 6], [-1, 1, 4]]
[[1, 0, 6], [1, 1, 8], [-1, 1, 6], [-1, 2, 4]]
[[1, 0, 6], [1, 1, 8], [-1, 1, 6], [0, 5, 6]]
[[1, 0, 6], [1, 1, 8], [-1, 4, 6], [-1, 2, 4]]
[[1, 0, 6], [1, 1, 8], [-1, 4, 6], [-1, 5, 4]]
[[1, 0, 6], [1, 1, 8], [-1, 4, 6], [0, 5, 6]]
[[1, 0, 6], [1, 1, 8], [-1, 5, 6], [-1, 1, 4]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [-1, 1, 6]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [-1, 4, 6]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [-1, 5, 6]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [-1, 6, 6]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [0, 0, 8]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [0, 2, 8]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [0, 5, 8]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [1, 0, 10]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8], [1, 1, 10]]
[[1, 0, 6], [1, 1, 8], [0, 1, 8], [-1, 0, 6]]
[[1, 0, 6], [1, 1, 8], [0, 1, 8], [0, 0, 8]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [-1, 1, 6]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [-1, 2, 6]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [-1, 3, 6]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [-1, 4, 6]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [-1, 6, 6]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [0, 0, 8]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [0, 2, 8]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [0, 4, 8]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [0, 5, 8]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [1, 0, 10]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8], [1, 1, 10]]
[[1, 0, 6], [1, 1, 8], [0, 5, 8], [-1, 0, 6]]
[[1, 0, 6], [1, 1, 8], [0, 5, 8], [0, 0, 8]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [-1, 1, 8]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [-1, 4, 8]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [-1, 5, 8]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [-1, 6, 8]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [0, 0, 10]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [0, 1, 10]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [0, 3, 10]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [0, 5, 10]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [0, 6, 10]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [1, 1, 12]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10], [1, 5, 12]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [-1, 1, 8]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [-1, 2, 8]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [-1, 3, 8]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [-1, 4, 8]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [0, 0, 10]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [0, 2, 10]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [0, 4, 10]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [1, 1, 12]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [1, 2, 12]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [1, 3, 12]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10], [1, 4, 12]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [-1, 1, 8]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [-1, 2, 8]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [0, 0, 10]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [0, 1, 10]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [0, 4, 10]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [0, 6, 10]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10], [1, 2, 12]]
